id,x,y
460,0.17,0.49
461,0.18,0.57
462,0.00,0.00
463,0.31,0.38
464,0.18,0.61
465,0.13,0.59
466,0.14,0.77
467,0.17,0.62
468,0.15,0.77
469,0.24,0.75
470,0.12,0.54
471,0.26,0.39
472,0.00,0.00
473,0.22,0.78
474,0.19,0.44
475,0.18,0.70
476,0.13,0.82
477,0.16,0.79
478,0.14,0.63
479,0.12,0.57
480,0.10,0.35
481,0.20,0.36
482,0.10,0.45
483,0.14,0.75
484,0.18,0.67
485,0.00,0.00
486,0.00,0.00
487,0.34,0.29
488,0.14,0.53
489,0.16,0.61
490,0.20,0.50
491,0.13,0.69
492,0.00,0.00
493,0.14,0.61
494,0.14,0.56
495,0.11,0.59
496,0.14,0.83
497,0.23,0.46
498,0.17,0.56
499,0.27,0.50
500,0.11,1.00
501,0.00,0.00
502,0.15,0.38
503,0.00,0.00
504,0.00,0.00
505,0.13,0.54
506,0.11,0.56
507,0.16,0.54
508,0.12,0.73
509,0.06,0.56
510,0.11,0.68
511,0.10,0.50
512,0.16,0.40
513,0.17,0.32
514,0.18,0.69
515,0.28,0.70
516,0.11,0.58
517,0.11,0.78
518,0.10,0.74
519,0.00,0.00
520,0.00,0.00
521,0.16,0.48
522,0.13,0.72
523,0.12,0.70
524,0.06,0.12
525,0.18,0.54
526,0.20,0.45
527,0.18,0.68
528,0.12,0.73
529,0.30,0.34
530,0.19,0.43
531,0.17,0.49
532,0.11,0.70
533,0.24,0.63
534,0.13,0.67
535,0.11,0.26
536,0.15,0.73
537,0.13,0.72
538,0.11,0.41
539,0.13,0.41
540,0.14,0.37
541,0.16,0.57
542,0.12,0.44
543,0.41,0.33
544,0.09,0.51
545,0.18,0.65
546,0.19,0.70
547,0.17,0.59
548,0.00,0.00
549,0.18,0.49
550,0.20,0.75
551,0.00,0.00
552,0.19,0.43
553,0.21,0.53
554,0.18,0.56
555,0.21,0.53
556,0.00,0.00
557,0.00,0.00
558,0.00,0.00
559,0.00,0.00
560,0.16,0.57
561,0.00,0.00
562,0.00,0.00
563,0.17,0.45
564,0.19,0.43
565,0.13,0.69
566,0.18,0.45
567,0.00,0.00
568,0.17,0.67
569,0.23,0.53
570,0.16,0.77
571,0.13,0.65
572,0.16,0.71
573,0.13,0.65
574,0.17,0.92
575,0.15,0.65
576,0.22,0.41
577,0.00,0.00
578,0.33,1.00
579,0.00,0.00
580,0.14,0.50
581,0.09,0.35
582,0.00,0.00
583,0.14,0.73
584,0.14,0.75
585,0.21,0.77
586,0.19,0.32
587,0.00,0.00
588,0.11,0.80
589,0.12,0.59
590,0.00,0.00
591,0.17,0.64
592,0.10,0.38
593,0.17,0.60
594,0.00,0.00
595,0.13,0.66
596,0.09,0.66
597,0.18,0.35
598,0.02,0.05
599,0.16,0.41
600,0.20,1.00
601,0.30,0.80
602,0.00,0.00
603,0.12,0.73
604,0.00,0.00
605,0.13,0.38
606,0.13,0.57
607,0.22,0.67
608,0.15,0.71
609,0.17,0.58
610,0.09,0.58
611,0.15,0.67
612,0.13,0.63
613,0.16,0.67
614,0.15,0.54
615,0.50,0.00
616,0.00,0.00
617,0.09,0.79
618,0.12,0.51
619,0.12,0.66
620,0.00,0.00
621,0.14,0.75
622,0.11,0.70
623,0.13,0.56
624,0.00,0.00
625,0.26,0.64
626,0.14,0.41
627,0.00,0.70
628,0.11,0.40
629,0.17,0.52
630,0.16,0.41
631,0.13,0.53
632,0.16,0.48
633,0.21,0.33
634,0.10,0.48
635,0.17,0.41
636,0.11,0.50
637,0.28,0.43
638,0.09,0.52
639,0.29,0.30
640,0.09,0.25
641,0.12,0.60
642,0.10,0.42
643,0.23,0.51
644,0.17,0.52
645,0.16,0.69
646,0.14,0.77
647,0.21,0.54
648,0.14,0.27
649,0.21,0.37
650,0.00,0.50
651,0.12,0.50
652,0.44,0.32
653,0.31,0.63
654,0.15,0.39
655,0.01,0.07
656,0.15,0.55
657,0.16,0.47
658,0.13,0.60
659,0.12,0.58
660,0.12,0.88
661,0.15,0.54
662,0.10,0.56
663,0.17,0.77
664,0.18,0.50
665,0.16,0.59
666,0.16,0.52
667,0.18,0.59
668,0.15,0.62
669,0.04,0.05
670,0.16,0.52
671,0.14,0.60
672,0.21,0.54
673,0.17,0.72
674,0.13,0.72
675,0.36,0.15
676,0.22,0.76
677,0.19,0.42
678,0.21,0.40
679,0.20,0.69
680,0.09,0.67
681,0.16,0.72
682,0.14,0.56
683,0.18,0.57
684,0.18,0.46
685,0.25,0.50
686,0.10,0.50
687,0.04,0.43
688,0.20,0.42
689,0.07,0.41
690,0.00,0.00
691,0.13,0.62
692,0.15,0.55
693,0.00,0.00
694,0.16,0.48
695,0.18,0.94
696,0.19,0.78
697,0.23,0.63
698,0.14,0.56
699,0.13,0.65
700,0.10,0.64
701,0.16,0.72
702,0.00,0.00
703,0.18,0.43
704,0.17,0.30
705,0.19,0.52
706,0.00,0.00
707,0.38,0.41
708,0.18,0.39
709,0.00,0.00
710,0.19,0.43
711,0.12,0.62
712,0.12,0.68
713,0.17,0.73
714,0.14,0.62
715,0.13,0.58
716,0.10,0.40
717,0.08,0.53
718,0.12,0.56
719,0.00,0.00
720,0.00,0.00
721,0.14,0.72
722,0.16,0.56
723,0.17,0.69
724,0.15,0.60
725,0.14,0.57
726,0.14,0.44
727,0.10,0.63
728,0.12,0.78
729,0.16,0.45
730,0.22,0.39
731,0.10,0.61
732,0.11,0.53
733,0.18,0.58
734,0.08,0.64
735,0.17,0.77
736,0.00,0.00
737,0.25,0.57
738,0.00,0.00
739,0.19,0.56
740,0.22,0.65
741,0.05,0.69
742,0.20,0.81
743,0.07,0.56
744,0.15,0.74
745,0.15,0.71
746,0.15,0.50
747,0.00,0.00
748,0.20,0.59
749,0.18,0.54
750,0.21,0.26
751,0.11,0.60
752,0.00,0.00
753,0.14,0.61
754,0.11,0.46
755,0.19,0.53
756,0.21,0.63
757,0.20,0.57
758,0.16,0.46
759,0.12,0.46
760,0.12,0.47
761,0.13,0.67
762,0.19,0.45
763,0.00,0.00
764,0.17,0.66
765,0.14,0.50
766,0.11,0.48
767,0.00,0.00
768,0.15,0.60
769,0.18,0.39
770,0.20,0.41
771,0.25,0.42
772,0.21,0.49
773,0.00,0.00
774,0.00,0.00
775,0.29,0.43
776,0.11,0.61
777,0.15,0.61
778,0.20,0.40
779,0.16,0.65
780,0.25,0.36
781,0.21,0.50
782,0.13,0.63
783,0.13,0.61
784,0.17,0.50
785,0.15,0.57
786,0.14,0.72
787,0.16,0.67
788,0.17,0.65
789,0.16,0.68
790,0.13,0.43
791,0.06,0.53
792,0.12,0.52
793,0.14,0.36
794,0.19,0.84
795,0.24,0.50
796,0.16,0.67
797,0.13,0.61
798,0.17,0.58
799,0.21,0.72
800,0.18,0.86
801,0.19,0.66
802,0.08,0.83
803,0.14,0.88
804,0.13,0.73
805,0.00,0.00
806,0.10,0.37
807,0.19,0.40
808,0.13,0.40
809,0.11,0.48
810,0.12,0.67
811,0.12,0.58
812,0.11,0.54
813,0.18,0.68
814,0.16,0.68
815,0.07,0.67
816,0.00,0.00
817,0.44,0.18
818,0.55,0.75
819,0.24,0.55
820,0.15,0.68
821,0.00,1.00
822,0.00,0.00
823,0.23,0.75
824,0.26,0.67
825,0.21,0.64
826,0.11,0.85
827,0.00,0.00
828,0.14,0.65
829,0.09,0.68
830,0.07,0.65
831,0.00,0.00
832,0.12,0.54
833,0.16,0.37
834,0.14,0.41
835,0.20,0.43
836,0.12,0.67
837,0.32,0.43
838,0.28,0.39
839,0.16,0.71
840,0.13,0.65
841,0.18,0.43
842,0.12,0.10
843,0.15,0.50
844,0.13,0.41
845,0.18,0.49
846,0.13,0.56
847,0.00,0.00
848,0.00,0.00
849,0.19,0.73
850,0.10,0.50
851,0.00,0.00
852,0.00,0.00
853,0.12,0.20
854,0.00,0.00
855,0.15,0.79
856,0.16,0.65
857,0.14,0.56
858,0.16,0.67
859,0.21,0.71
860,0.16,0.74
861,0.15,0.59
862,0.14,0.41
863,0.00,0.00
864,0.17,0.48
865,0.10,0.76
866,0.14,0.58
867,0.09,0.33
868,0.00,0.00
869,0.11,0.65
870,0.09,0.52
871,0.17,0.65
872,0.12,0.57
873,0.17,0.69
874,0.18,0.69
875,0.22,0.53
876,0.10,0.62
877,0.15,0.56
878,0.18,0.58
879,0.10,0.72
880,0.19,0.53
881,0.16,0.68
882,0.17,0.56
883,0.16,0.67
884,0.26,0.53
885,0.21,0.70
886,0.00,0.00
887,0.18,0.68
888,0.14,0.67
889,0.14,0.50
890,0.14,0.81
891,0.15,0.70
892,0.15,0.59
893,0.13,0.74
894,0.00,0.00
895,0.12,0.57
896,0.15,0.64
897,0.15,0.58
898,0.14,0.56
899,0.12,0.70
900,0.15,0.79
901,0.21,0.81
902,0.00,1.00
903,0.38,0.14
904,0.11,0.93
905,0.04,0.55
906,0.15,0.86
907,0.11,0.55
908,0.15,0.84
909,0.14,0.77
910,0.14,0.55
