ID,x,y
493,0.33,0.43
494,0.39,0.32
495,0.43,0.25
496,0.14,0.57
497,0.05,0.13
498,0.11,0.36
499,0.11,0.62
500,0.00,0.00
501,0.09,0.59
502,0.00,0.00
503,0.47,0.18
504,0.41,0.24
505,0.50,0.16
506,0.50,0.09
507,0.44,0.18
508,0.55,0.00
509,0.41,0.15
510,0.17,0.25
511,0.19,0.51
512,0.00,1.00
513,0.00,0.00
514,0.13,0.67
515,0.00,0.00
516,0.00,0.00
517,0.15,0.58
518,0.08,0.39
519,0.00,0.00
520,0.09,0.66
521,0.60,0.00
522,0.17,0.72
523,0.00,0.00
524,0.24,0.68
525,0.16,0.54
